Product Name,Benefits of this Product
Glimicure M 2 Tablet,"Treatment of Type 2 diabetes mellitusGlimicure M 2 Tablet is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Winpace 5 Tablet,"Treatment of Hypertension (high blood pressure)Winpace 5 Tablet is a calcium channel blocker. It works by relaxing the blood vessels so that blood can flow more easily around your body. This lowers your blood pressure and reduces your risk of having a stroke, a heart attack, or kidney problems in the future. You do not usually feel any direct benefit from taking this medicine, but it works in the long term to keep you well. Take regularly, as prescribed for this medicine to be most effective, even if you feel better.Prevention of Angina (heart-related chest pain)Winpace 5 Tablet belongs to a class of medicines known as a calcium channel blockers. It works by relaxing blood vessels so that blood can flow more easily around your body. This means that more oxygen gets to your heart and reduces the risk of getting chest pain (angina). This medicine should not be used to treat chest pain which is already happening. It is used to prevent or reduce the frequency of angina attacks. This medicine needs to be taken regularly as prescribed for it to work effectively. So, it is important to keep taking it even if you feel well and have no symptoms.Prevention of Heart attackWinpace 5 Tablet helps lower your blood pressure and make it easier for your heart to pump blood around your body. This reduces the chances of you having a heart attack. It can also reduce the risk of dying if it is given immediately after a heart attack. This medicine needs to be taken regularly to be effective, so keep taking it even if you feel well. Do not stop without talking to your doctor.Prevention of StrokeWinpace 5 Tablet reduces the risk of future strokes. It helps lower your blood pressure and make it easier for your heart to pump blood around your body. This reduces the chances of you having a stroke. Take it as advised by the doctor to get the maximum benefit."
Moxistar 0.5% Eye Drop,"Treatment of Bacterial eye infectionsMoxistar 0.5% Eye Drop is an antibiotic medicine. It works by stopping the growth of the bacteria that is causing the infection. It helps relieve symptoms such as pain, redness, itching or soreness caused due to eye infections. The dose and duration of treatment will be decided by your doctor based on your condition. Make sure you complete the full course of treatment. This will ensure that the infection is completely cured and prevent it from returning."
Azulix MV 2mg/500mg/0.3mg Tablet SR,"Treatment of Type 2 diabetes mellitusAzulix MV 2mg/500mg/0.3mg Tablet SR is a medicine that helps to control high blood glucose (sugar) levels. It helps to slow down the breaking down of food in our intestine to simple glucose (sugar), thereby decreasing the rise in blood glucose levels after meals. It also helps get rid of extra glucose from your body through urine. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level, you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems and loss of limbs. Azulix MV 2mg/500mg/0.3mg Tablet SR will reduce the risk of dying from cardiovascular disease if you have type 2 diabetes and already have cardiovascular disease. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. You should keep using it for as long as it is prescribed because it is protecting your future health."
Xotopride Forte 180mg/96mg/200mg Tablet,"Pain reliefXotopride Forte 180mg/96mg/200mg Tablet is a combination of medicines used for relief of pain, inflammation, and swelling in conditions that may occur due to trauma, surgery or everyday life. It may also be used to provide relief in degenerative and inflammatory conditions that affect muscles and joints such as rheumatoid arthritis and osteoarthritis. It promotes speedy recovery due to its anti-inflammatory and antioxidant properties. Take it as it is prescribed to get the most benefit. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Dapanorm Duo 10 Tablet,"Treatment of Type 2 diabetes mellitusDapanorm Duo 10 Tablet is a medicine that helps control high blood glucose (sugar) levels. It helps get rid of extra glucose from your body through urine. Lowering blood glucose levels is an essential part of managing diabetes, as this reduces the risk of getting serious complications, such as kidney damage, eye damage, nerve problems, and loss of limbs. This medicine reduces the risk of death from cardiovascular disease if you have type 2 diabetes and any cardiovascular disease. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. Keep using it for as long as it is prescribed for a healthy future."
Glimiprex MF Forte 2 Tablet PR,"Treatment of Type 2 diabetes mellitusGlimiprex MF Forte 2 Tablet PR is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Kanset 4mg Tablet,Treatment of NauseaKanset 4mg Tablet blocks the action of chemicals in the body that can make you feel or be sick. It is often used to prevent nausea and vomiting that may be caused by cancer chemotherapy and radiation treatment (in adults and children aged 4 years and older). It is usually taken both before and after chemotherapy or radiation. This medicine helps you recover more comfortably from these treatments. It is also effective at preventing nausea and vomiting after an operation (in adults only). The dose will depend on what you are being treated for but always take this medicine as it is prescribed.
Innowet Eye Drop,"Treatment of Dry eyesDry eyes is a condition in which your eyes do not produce enough tears to keep them moist. It can be caused by sitting in front of the computer for a long time, certain medications or environmental conditions. Innowet Eye Drop adds moisture to your eyes and keeps them lubricated. This gives relief from burning sensation and discomfort due to dryness of the eyes. If you wear soft contact lenses, you should remove them before applying Innowet Eye Drop."
Abvoge GM 2 Tablet SR,"Treatment of Type 2 diabetes mellitusAbvoge GM 2 Tablet SR is a medicine that helps to control high blood glucose (sugar) levels. It helps to slow down the breaking down of food in our intestine to simple glucose (sugar), thereby decreasing the rise in blood glucose levels after meals. It also helps get rid of extra glucose from your body through urine. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level, you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems and loss of limbs. Abvoge GM 2 Tablet SR will reduce the risk of dying from cardiovascular disease if you have type 2 diabetes and already have cardiovascular disease. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. You should keep using it for as long as it is prescribed because it is protecting your future health."
Binex-CV 250 Tablet,"Treatment of Bacterial infectionsBinex-CV 250 Tablet contains two different medicines, Cefuroxime and Clavulanic Acid, that work together to kill the bacteria that cause infections. Cefuroxime works by stopping the growth of bacteria. Clavulanic Acid reduces resistance and enhances the activity of Cefuroxime against bacteria.This combination medicine can be used to treat many different bacterial infections such as ear, sinus, throat, lung, urinary tract, skin and soft tissues. It usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better to make sure that all bacteria are killed and do not become resistant."
Lemoleb Syrup,"Treatment of Sneezing and runny nose due to allergiesLemoleb Syrup is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Hay feverHay fever, also called allergic rhinitis, causes cold-like signs and symptoms, such as a runny nose, itchy eyes, congestion, sneezing and sinus pressure. The only difference is that in hay fever, these symptoms are not produced due to a virus but are simply allergic responses of our body to allergens (allergy causing agents such as pollen). Lemoleb Syrup is used to provide relief from these symptoms of hay fever. It works by blocking the release of the chemical substance responsible for producing such allergy symptoms. Lemoleb Syrup is a safe medicine which helps treat hay fever and makes us feel at ease.Treatment of Allergic skin conditionsLemoleb Syrup is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits."
Zycoxia P 60mg/325mg Tablet,"Pain reliefZycoxia P 60mg/325mg Tablet is a combination of two medicines used for short term relief of pain, inflammation, and swelling in conditions that affect joints and muscles. It works by blocking chemical messengers in the brain that tell us we have pain. It can help relieve pain in conditions like rheumatoid arthritis and osteoarthritis or even after a dental (tooth related) surgery.Take it as it is prescribed to get the most benefit. Do not take more or for longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Alsigra 100mg Tablet,Treatment of Erectile dysfunctionAlsigra 100mg Tablet belongs to a group of medicines called PDE5 inhibitors. It works by relaxing the blood vessels in your penis. This allows blood to flow into the penis and produce an erection when sexually aroused. This medicine will only help get an erection if you are sexually stimulated. It is very effective but needs to be taken at least 30 minutes before sexual activity.Do not take this medicine if you also take medicines called nitrates (often given for chest pain).
Azipril 200mg Syrup,"Treatment of Bacterial infectionsAzipril 200mg Syrup is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Genericart Diacerein+Glucosamine Sulfate Potassium Chloride+Methyl Sulfonyl Methane 50mg/750mg/250mg Tablet,"OsteoarthritisOsteoarthritis is a condition that causes pain, swelling and stiffness in the joints of your hands, knees, hips and spine. Genericart Diacerein+Glucosamine Sulfate Potassium Chloride+Methyl Sulfonyl Methane 50mg/750mg/250mg Tablet  helps you manage the symptoms of especially knee and hip osteoarthritis and restore mobility. Apart from this, Genericart Diacerein+Glucosamine Sulfate Potassium Chloride+Methyl Sulfonyl Methane 50mg/750mg/250mg Tablet might help in joint repair if taken at the start of symptoms. Mild symptoms of osteoarthritis can sometimes be managed by doing light exercises, losing weight and by wearing a suitable footwear."
Zolo-F 20mg/5mg Tablet,Bipolar depressionZolo-F 20mg/5mg Tablet works to restore the normal balance of nerve activity in your brain. It can help prevent extreme changes in mood and help you feel less agitated. You may experience fewer episodes of low mood. It can take several weeks for this medicine to work and you may still feel low during this time. It is likely that you will take this medicine for at least six months but possibly much longer. It needs to be taken regularly to work effectively. Do not stop taking it unless your doctor advises you to. You should continue to eat well and keep fit to reduce symptoms of bipolar disorder.
AD 30mg Sachet,Treatment of DiarrheaDiarrhea is an increase in the frequency of bowel movements or loose watery bowel movements. This medicine can relieve frequent loose motions and also help you to stay well by preventing them from coming back. You need to take this medicine regularly to get the most out of it and you should drink plenty of fluids while taking it to make sure you stay hydrated.
Vosliv Syrup,"Appetite stimulantVosliv Syrup is a combination of medicines that increases hunger by constantly increasing the energy requirements of an individual. It promotes the desire to eat and therefore, it is a safe and effective way of managing undernutrition or malnutrition. It helps to treat loss of appetite and improves the nutritional status."
Xomik 500mg Injection,"Bacterial infectionsXomik 500mg Injection is the injection form of an antibiotic medicine that stops the growth of the infection-causing bacteria in your body. It is often injected by a doctor or a nurse either into a vein or a muscle. This medicine is used to treat many different types of infections such as urinary tract, bones and joints, lungs (eg. pneumonia), brain, blood, and some others. This medicine usually makes you feel better within a few days. Follow your doctor's instructions carefully to get maximum benefit."
Flogel HA Lubricating Eye Drop,"Treatment of Dry eyesNormally your eyes produce enough natural tears to help them move easily and comfortably and to remove dust and other particles. If they do not produce enough tears, they can become dry, red, and painful. Dry eyes can be caused by wind, sun, heating, computer use, and some medications. Flogel HA Lubricating Eye Drop keeps your eyes lubricated and can relieve any dryness and pain. This medicine is safe to use with few side effects. If you wear soft contact lenses, you should remove them before applying the drops."
Welzin M 5mg/10mg Tablet,"Treatment of Sneezing and runny nose due to allergiesWelzin M 5mg/10mg Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Hay feverHay fever, also called allergic rhinitis, causes cold-like signs and symptoms, such as a runny nose, itchy eyes, congestion, sneezing and sinus pressure. The only difference is that in hay fever, these symptoms are not produced due to a virus but are simply allergic responses of our body to allergens (allergy causing agents such as pollen). Welzin M 5mg/10mg Tablet is used to provide relief from these symptoms of hay fever. It works by blocking the release of the chemical substance responsible for producing such allergy symptoms. Welzin M 5mg/10mg Tablet is a safe medicine which helps treat hay fever and makes us feel at ease.Treatment of Allergic skin conditionsWelzin M 5mg/10mg Tablet is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits."
Depsonil 25mg Tablet,"DepressionDepsonil 25mg Tablet is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieve anxiety and tension, help you sleep better, and increase your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly.Bed-wettingBed-wetting is a condition that is seen in children who are old enough to control their urine at night during sleep but fail to do so. Depsonil 25mg Tablet can help your child control nighttime bed-wetting. Depsonil 25mg Tablet works by blocking the effect of a certain natural substance (acetylcholine) on the bladder muscles. This prevents bladder overflow at night. However, this medicine is used for managing bed-wetting only during the night and should not be used in children younger than 6 years of age."
G Scab Lotion,"ScabiesScabies is a condition caused by tiny insects called mites that infest and irritate your skin. G Scab Lotion is an anti-parasite medicine. It works by paralyzing and killing the mites and their eggs. Generally, the cream should be applied to the whole body except the face but follow your doctors advice. It should be thoroughly washed off after 8-12 hours. Often one application is enough to treat the condition completely but sometimes a second one may be required a week later. This will get rid of the itching, swelling, and redness caused by mites. However, dead mites may still make you itch for some time."
Zeucor 10 Tablet,Treatment of High cholesterolZeucor 10 Tablet belongs to a group of medicines called statins. It works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in your blood. Lowering the amount of cholesterol reduces the chances of heart diseases and helps you remain healthier for longer.Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well.Prevention of heart attack and strokeHigh levels of cholesterol can cause your blood vessels to narrow (atherosclerosis) and put you at risk of having a stroke or heart disease. Lowering the amount of this fat reduces the chances of this happening and helps you remain healthier for longer. Keep taking this medicine even if you feel well.
Gabatol M 300 mg/750 mcg Capsule,"Treatment of Neuropathic painGabatol M 300 mg/750 mcg Capsule is a combination of medicines used to treat long-lasting (chronic) pain caused by nerve damage due to diabetes, shingles or spinal cord injury. It reduces pain and its associated symptoms such as mood changes, sleep problems, and tiredness. It is thought to work by interfering with pain signals that travel through the damaged nerves and the brain. Using this medicine regularly will improve your physical and social functioning and overall quality of life. It takes a few weeks to work so you need to use it regularly even if you feel it is not doing any good. Once your symptoms have gone you should still keep using the medicine until your doctor advises you to stop."
Modus 10mg Tablet,"Treatment of AmenorrheaModus 10mg Tablet contains progesterone, a female hormone that is important in the regulation of ovulation and menstruation. It is used to cause menstrual periods in women who have not reached menopause but are not having periods due to a lack of natural progesterone in the body. You should use the medicine as prescribed for it to be effective. Avoid any stress and follow your doctors instructions carefully. Improving weight and nutrition may be recommended in females with eating disorders or malnutrition to get the maximum benefit from Modus 10mg Tablet.Treatment of Abnormal uterine bleedingModus 10mg Tablet is a synthetic progestin that replicates the effect of a natural female hormone called progesterone. It slows the growth of the lining of the womb before menstruation, which reduces the bleeding during menstruation. If heavy periods become such a problem that they interfere with your everyday life, then try taking things a little easier on those days. Some women find that relaxation techniques or yoga help them feel more relaxed and reduce stress. Getting a lot of exercise can also help.Treatment of EndometriosisModus 10mg Tablet contains progesterone, a female hormone that is important in the regulation of ovulation and menstruation. It is used to cause menstrual periods in women who have not reached menopause but are not having periods due to a lack of natural progesterone in the body. You should use the medicine as prescribed for it to be effective. Avoid any stress and follow your doctors instructions carefully. Improving weight and nutrition may be recommended in females with eating disorders or malnutrition to get the maximum benefit from Modus 10mg Tablet."
Amicip 500mg Injection,"Bacterial infectionsAmicip 500mg Injection is the injection form of an antibiotic medicine that stops the growth of the infection-causing bacteria in your body. It is often injected by a doctor or a nurse either into a vein or a muscle. This medicine is used to treat many different types of infections such as urinary tract, bones and joints, lungs (eg. pneumonia), brain, blood, and some others. This medicine usually makes you feel better within a few days. Follow your doctor's instructions carefully to get maximum benefit."
Qmox 250mg Tablet DT,"Bacterial infectionsQmox 250mg Tablet DT is a medicine that helps to kill the bacteria that cause infections. This combination medicine can be used to treat many different bacterial infections. It causes loss of the useful bacteria that are present naturally in our body. It contains probiotics that help restore the useful bacteria, improve digestion and enhance overall health. Qmox 250mg Tablet DT usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better to make sure that all bacteria are killed and do not become resistant.Infectious diarrheaDiarrhea is an increase in the frequency of bowel movements or loose watery bowel movements. It can most commonly occur due to an infection of the digestive tract. Qmox 250mg Tablet DT helps to treat diarrhea that is caused due to bacteria or parasitic worm infections. This medicine can relieve frequent loose motions and also help you to stay well by preventing them from coming back. You need to take this medicine regularly to get the most out of it and you should drink plenty of fluids while taking it to make sure you stay hydrated."
Isonit GTN 2.6 Tablet,"Treatment of Angina (heart-related chest pain)Isonit GTN 2.6 Tablet helps in prevention as well as treatment of angina. Angina is a chest pain that is usually caused by narrowing of the blood vessels which supply your heart. This means your heart does not get enough oxygen. Isonit GTN 2.6 Tablet works quickly to relax the muscles and blood vessels in your heart so more blood (and oxygen) gets to your heart. This reduces the pain and discomfort that angina causes.You should take this medicine at the first sign of chest pain. If the first tablet does not work, you can take a second tablet after 5 minutes. However, if your chest pain does not go away after 15 minutes, you should get urgent medical attention. This could be a sign of a heart attack. Isonit GTN 2.6 Tablet also helps prevent chest pain if taken before exercising or doing other strenuous activities."
Jolivel 5mg Tablet,"Treatment of DepressionJolivel 5mg Tablet works by increasing the level of a chemical called serotonin in the brain. This improves your mood, relieves anxiety, tension, and helps you sleep better. It has fewer side effects than older antidepressants. It usually takes 4-6 weeks for this medicine to work so you need to keep taking it even if you feel it is not working. Do not stop taking it, even if you feel better unless your doctor advises you to.Treatment of Anxiety disorderJolivel 5mg Tablet helps relieve symptoms of many anxiety disorders including obsessive-compulsive disorder and generalized anxiety disorder by increasing the level of a chemical called serotonin in your brain. It has fewer side effects than older antidepressants and is normally taken once a day. It helps you feel calm with a better ability to deal with problems. Exercise and a healthy diet can also improve your mood. Keep taking the medicine until your doctor advises you to stop.Treatment of Panic disorderJolivel 5mg Tablet can help relieve symptoms of many panic disorders including panic attacks. It can help you feel calmer and improve your ability to deal with problems. Do not stop taking it, even when you feel better unless your doctor advises you to."
Clinroz-BP 5% Gel,AcneClinroz-BP 5% Gel is used to treat and control acne. It also has a mild drying effect that allows excess oil and dirt to be easily washed away from the face. This helps keep your pores open and prevent further acne breakouts. It may take two to six weeks of treatment with Clinroz-BP 5% Gel before the full effect of the medicine is seen. This medicine will help improve your mood and uplift your confidence as acne reduces.
Wizith 250mg Tablet,"Treatment of Bacterial infectionsWizith 250mg Tablet is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Ascovit C 1500mg Injection,"Vitamin C deficiencyAscovit C 1500mg Injection is a supplement of vitamin C. It is used in the treatment of conditions caused due to low levels of vitamin C in the body. Benefits of vitamin C include immunity boost, protection against cardiovascular disease, prenatal health problems, eye disease, and skin wrinkling. Take it in the exact dose and duration as prescribed by your doctor for maximum benefits."
R2 10 Tablet,Treatment of High cholesterolR2 10 Tablet belongs to a group of medicines called statins. It works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in your blood. Lowering the amount of cholesterol reduces the chances of heart diseases and helps you remain healthier for longer.Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well.Prevention of heart attack and strokeHigh levels of cholesterol can cause your blood vessels to narrow (atherosclerosis) and put you at risk of having a stroke or heart disease. Lowering the amount of this fat reduces the chances of this happening and helps you remain healthier for longer. Keep taking this medicine even if you feel well.
Nozal Soap,"Fungal skin infectionsNozal Soap is an antifungal medicine. It is used to treat skin infections caused by fungi. These include athletes foot, ringworm, vaginal thrush, and sweat rash. It works by killing and stopping the growth of fungi, thereby clearing the infection and relieving the symptoms. You should use this medicine for as long as it is prescribed, even if your symptoms disappear, otherwise they may come back. Depending on the type of infection you are treating, this may be several weeks. Even after your skin is completely cured, you may have to apply the cream occasionally to prevent the symptoms from returning."
WOCKADINE OINTMENT,"Treatment and prevention of Wound infectionWOCKADINE OINTMENT is a versatile antiseptic that is used for the treatment and prevention of infection. WOCKADINE OINTMENT kills and prevents the growth of infection-causing microbes, thereby preventing abrasions, cuts, and wounds, or any break in the skin from getting infected. The antiseptic effect is caused due to the slow release of iodine. Keep the affected area clean and use the medicine as prescribed by your doctor."
Sporidex Oral Suspension,"Treatment of Bacterial infectionsSporidex Oral Suspension is an antibiotic medicine that works by killing the infection-causing bacteria in your body. It is effective for bacterial infections of the throat, ears, urinary tract, skin, and soft tissues. This medicine usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better. Stopping it early may make the infection come back and harder to treat."
Veribo GM 2mg/500mg/0.2mg Tablet,"Treatment of Type 2 diabetes mellitusVeribo GM 2mg/500mg/0.2mg Tablet is a medicine that helps to control high blood glucose (sugar) levels. It helps to slow down the breaking down of food in our intestine to simple glucose (sugar), thereby decreasing the rise in blood glucose levels after meals. It also helps get rid of extra glucose from your body through urine. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level, you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems and loss of limbs. Veribo GM 2mg/500mg/0.2mg Tablet will reduce the risk of dying from cardiovascular disease if you have type 2 diabetes and already have cardiovascular disease. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. You should keep using it for as long as it is prescribed because it is protecting your future health."
Zyceva 100mg Tablet,"Non-small cell lung cancerNon-small cell lung cancer is one of the major kinds of lung cancer and it affects both smokers as well as non-smokers. Zyceva 100mg Tablet helps treat non-small cell lung cancer and may be given alone or in combination with other medicines. It is a potent and very toxic medicine and you should discuss the risks and benefits with your doctor. You should avoid drinking alcohol while having this treatment and drink plenty of water to stay hydrated.Pancreatic cancerPancreas are very essential for digestion of whatever you eat and also for metabolism of blood sugar levels as they produce the bodys natural insulin. This medicine will help to control pancreatic cancer, and will relieve the symptoms such as, lack of appetite or unexplained weight loss. Zyceva 100mg Tablet helps to stop the action of those chemicals that aid in pancreatic cancer growth and spread. It will help you live a longer and healthier life."
Nicopenta Injection,"Treatment of Gastroesophageal reflux disease (Acid reflux)GERD is a chronic (long-term) condition that is like having heartburn consistently rather than just occasionally. It happens because a muscle above your stomach relaxes too much and allows stomach contents to come back up into your esophagus and mouth. Nicopenta Injection belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You should take it exactly as it is prescribed for it to be effective.Some simple lifestyle changes can help reduce the symptoms of GERD. Think about what foods trigger heartburn and try to avoid them; eat smaller more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3-4 hours of going to bed.Treatment of Peptic ulcer diseaseNicopenta Injection belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking the medicine as it is prescribed for it to be effective, even if the symptoms seem to disappear.Treatment of Zollinger-Ellison syndromeZollinger-Ellison syndrome is a rare disorder where excessive stomach acid production leads to multiple peptic ulcers. Symptoms include abdominal pain, diarrhea, and heartburn. Nicopenta Injection By reducing the production of stomach acid, it helps alleviate symptoms such as abdominal pain, heartburn, and diarrhea. Esomeprazole also aids in the healing of peptic ulcers, which are common in this condition. By controlling the excessive acid secretion associated with Zollinger-Ellison syndrome, esomeprazole helps improve the overall digestive health and prevents complications such as gastrointestinal bleeding."
H-Levo 500 Tablet,"Treatment of Bacterial infectionsH-Levo 500 Tablet is an antibiotic medicine which can be used to treat many different infections caused by bacteria. These include infections of the ear, nose, throat, lungs, urinary tract, skin, and soft tissues. It works by killing and stopping the growth of the bacteria causing the infection.This medicine usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed, even when you feel better, to make sure that all bacteria are killed and do not become resistant."
Trancodol DT 10 Tablet,"SchizophreniaSchizophrenia is a mental disorder in which a persons thinking ability, feelings and behavior become abnormal. Trancodol DT 10 Tablet helps restore the chemical imbalances in the brain that are responsible for such changes. It improves thoughts, behavior and enhances the quality of life. It needs to be taken regularly to work effectively. Do not stop taking it unless your doctor advises you to."
Glitaray M 4 Forte Tablet PR,"Treatment of Type 2 diabetes mellitusGlitaray M 4 Forte Tablet PR is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Krisp 2mg Tablet,"Treatment of SchizophreniaSchizophrenia is a mental disorder in which a persons thinking ability, feelings and behavior become abnormal. Krisp 2mg Tablet helps restore the chemical imbalances in the brain that are responsible for such changes. It improves thoughts, behavior and enhances the quality of life.Treatment of ManiaMania means extremely excited or elevated mood. Krisp 2mg Tablet helps calm the mood and relax the nerves. This stabilises the mood and prevents the symptoms of mania from recurring again. Taking Krisp 2mg Tablet will ensure that you have a better social life and are able to do daily activities more comfortably."
Rosmi 10 Tablet,Treatment of High cholesterolRosmi 10 Tablet belongs to a group of medicines called statins. It works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in your blood. Lowering the amount of cholesterol reduces the chances of heart diseases and helps you remain healthier for longer.Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well.Prevention of heart attack and strokeHigh levels of cholesterol can cause your blood vessels to narrow (atherosclerosis) and put you at risk of having a stroke or heart disease. Lowering the amount of this fat reduces the chances of this happening and helps you remain healthier for longer. Keep taking this medicine even if you feel well.
Indapace 10mg Tablet,"Treatment of Hypertension (high blood pressure)Indapace 10mg Tablet is a calcium channel blocker. It works by relaxing the blood vessels so that blood can flow more easily around your body. This lowers your blood pressure and reduces your risk of having a stroke, a heart attack, or kidney problems in the future. You do not usually feel any direct benefit from taking this medicine, but it works in the long term to keep you well. Take regularly, as prescribed for this medicine to be most effective, even if you feel better.Prevention of Angina (heart-related chest pain)Indapace 10mg Tablet belongs to a class of medicines known as calcium channel blockers. It works by relaxing blood vessels so that blood can flow more easily around your body. This means that more oxygen gets to your heart and reduces the risk of getting chest pain (angina). This medicine should not be used to treat chest pain which is already happening. It is used to prevent or reduce the frequency of angina attacks. This medicine needs to be taken regularly as prescribed for it to work effectively. So, it is important to keep taking it even if you feel well and have no symptoms.Prevention of Heart attackIndapace 10mg Tablet helps lower your blood pressure and make it easier for your heart to pump blood around your body. This reduces the chances of you having a heart attack. It can also reduce the risk of dying if it is given immediately after a heart attack. This medicine needs to be taken regularly to be effective, so keep taking it even if you feel well. Do not stop without talking to your doctor.Prevention of StrokeIndapace 10mg Tablet reduces the risk of future strokes. It helps lower your blood pressure and makes it easier for your heart to pump blood around your body. This reduces the chances of you having a stroke. Take it as advised by the doctor to get the maximum benefit."
Vehycal XT Tablet,"Nutritional deficienciesVehycal XT Tablet is a nutritional supplement that is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It improves the level of calcium in the body. This helps keep your bones strong and healthy and reduce the risk of any bone disorders like osteoporosis. Calcium is also necessary for normal functioning of nerves, cells, muscle and heart. This combination contains other vitamins and minerals that help in strengthening the immune system, improve metabolism of the body and aid in the proper functioning of the nervous system. Taking Vehycal XT Tablet improves general health and enhances the quality of life."
